"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
,,,"Otto Matic",20162183,"162183 (1999 NB5)",2460600.5,0.5351,2.072,235.31,123.19,143.03,1.09e+03,1.43
,,6.23,"Otto Matic",20162210,"162210 (1999 SM5)",2460600.5,0.6950,2.306,327.62,319.31,82.39,1.28e+03,5.19
,,3.4558,"Otto Matic",20162361,"162361 (2000 AF6)",2460600.5,0.4110,0.8758,109.86,201.27,188.82,299,2.71
,,24,"Otto Matic",20162416,"162416 (2000 EH26)",2460600.5,0.4780,1.855,215.25,19.22,243.90,923,0.40
,,8.947,"Otto Matic",20162421,"162421 (2000 ET70)",2460600.5,0.1238,0.9467,331.12,46.07,31.49,336,22.32
,,,"Otto Matic",20162422,"162422 (2000 EV70)",2460600.5,0.5311,1.207,108.93,314.50,240.88,484,1.40
,,,"Otto Matic",20162474,"162474 (2000 LB16)",2460600.5,0.3574,1.241,80.85,285.25,163.39,505,50.71
1.406,0.089,,"Otto Matic",20162510,"162510 (2000 QW69)",2460600.5,0.3023,1.376,344.33,220.73,91.40,590,38.14
0.335,0.173,2.439,"Otto Matic",20162567,"162567 (2000 RW37)",2460600.5,0.2501,1.247,333.29,133.29,12.21,509,13.75
,,,"Otto Matic",20162687,"162687 (2000 UH1)",2460600.5,0.5436,1.875,76.13,40.97,92.72,938,14.77
,,,"Otto Matic",20162695,"162695 (2000 UL11)",2460600.5,0.6354,2.122,333.18,152.12,246.49,1.13e+03,2.19
,,,"Otto Matic",20162783,"162783 (2000 YJ11)",2460600.5,0.2323,1.314,64.92,339.16,327.02,550,7.26
,,,"Otto Matic",20162825,"162825 (2001 BO61)",2460600.5,0.7444,1.773,159.52,79.16,338.79,862,9.07
,,,"Otto Matic",20162882,"162882 (2001 FD58)",2460600.5,0.5752,1.092,341.15,46.02,348.46,417,6.50
