"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
,,,"Otto Matic",1000889,"     D/1884 O1 (Barnard)",2409411.5,0.5836,3.073,6.75,301.05,1.10,1.97e+03,5.47
,,,"Belyaev and Stal'bov",1000927,"     D/1895 Q1 (Swift)",2413430.5,0.6520,3.729,171.75,167.78,0.50,2.63e+03,2.99
,,,"Otto Matic",1000954,"     C/1905 F1 (Giacobini)",2416955.5,0.9528,23.56,158.95,358.16,0.13,4.18e+04,40.07
,,,"Otto Matic",1000981,"     C/1914 S1 (Campbell)",2420452.5,0.9038,7.053,2.40,265.28,5.52,6.84e+03,76.86
,,,"Otto Matic",1000985,"     C/1917 F1 (Mellish)",2421318.5,0.9931,27.4,88.67,121.31,359.92,5.24e+04,32.69
,,,"Otto Matic",1000024,"     C/1921 H1 (Dubiago)",2422830.5,0.9347,17.1,67.13,97.48,0.22,2.58e+04,22.35
,,,"Otto Matic",1001031,"     C/1937 D1 (Wilk)",2428609.5,0.9806,31.97,58.27,31.46,0.13,6.6e+04,26.01
,,,"Otto Matic",1001045,"     C/1942 EA (Vaisala)",2430440.5,0.9268,17.61,172.29,335.57,0.45,2.7e+04,37.86
,,,"Otto Matic",1001109,"     C/1960 Y1 (Candy)",2437308.5,0.9303,15.03,177.29,138.76,359.44,2.13e+04,151.17
,,,"Otto Matic",1000037,"     D/1978 R1 (Haneda-Campos)",2443773.5,0.6652,3.29,132.25,240.46,357.11,2.18e+03,5.95
,,,"Otto Matic",1001234,"     C/1989 A3 (Bradfield)",2447551.5,0.9781,19.2,28.44,194.77,0.59,3.07e+04,83.06
11.6,,,"Otto Matic",1000129,"     C/1991 L3 (Levy)",2448619.5,0.9289,13.81,329.43,41.48,3.34,1.88e+04,19.19
,,,"Otto Matic",1001439,"     P/1999 J6 (SOHO)",2454119.5,0.9842,3.099,81.60,21.95,144.84,1.99e+03,26.63
,,,"Otto Matic",1000271,"     P/1999 RO28 (LONEOS)",2451441.5,0.6508,3.527,148.45,219.86,358.16,2.42e+03,8.19
13.6,0.054,57.12,"Otto Matic",1000373,"     C/2001 OG108 (LONEOS)",2452248.5,0.9253,13.3,10.56,116.42,357.96,1.77e+04,80.25
,,,"Otto Matic",1000362,"     C/2001 W2 (BATTERS)",2452248.5,0.9414,17.93,113.36,142.09,359.75,2.77e+04,115.91
,,,"Otto Matic",1001843,"     C/2002 R5 (SOHO)",2453575.5,0.9853,3.216,13.21,45.73,179.91,2.11e+03,14.12
,,,"Otto Matic",1001852,"     P/2002 S7 (SOHO)",2453663.5,0.9848,3.224,50.19,52.17,191.61,2.11e+03,13.58
